"Spring 2026"
"Generated 4/28/2026, 8:31:04 AM"
,"CLSS ID","CRN","Term","Term Code","Department Code","Subject Code","Catalog Number","Course","Section #","Course Title","Long Title","Schedule Type","Title","Meeting Pattern","Meetings","Instructor","Room","Status","Part of Term","Custom Start Date","Custom End Date","Session","Campus","Print/Web","Special Approval","Credit Hrs","Attributes","Course Attributes","Enrollment","Maximum Enrollment","Prior Enrollment","Wait Cap","Wait Total","Attend Mthd","Cross-listings","Cross-list Enrollment","Cross-list Maximum","Cross-list Wait Cap","Cross-list Wait Total","Cross-list Attend Meth","Link To","Comments","Section Notes#1","Section Notes#2","Restrictions
Student Attribute 
Include/Exclude","Restrictions
Student Attribute","Restrictions
Cohort 
Include/Exclude","Restrictions
Cohort"
,"588","32359","Spring 2026","202630","MATH","MATH","110A","MATH 110A","32359 (002)","Calculus I","Calculus I","Lecture","","MW 11:10am-1:25pm","MW 11:10am-1:25pm [Lecture (Class)]","Dudum, Isam (W00114876) [Primary, 100%]","JDVL 806","Active","Full Term (1/9/26 to 5/20/26)","","","Day","Ocean","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; InsMa: Low-Cost Material; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","26","35","26","0","0","W","","","","","","","","Room Request: JDVL 806
Instructor Preference: At least the same room as MATH 110A (001)","","This 17.5-week class requires the use of Canvas and an internet-enabled device. All class sessions will occur in person at the Ocean Campus.","Exclude (E)","High School Exemption (CHSS) ","",""
,"67","30229","Spring 2026","202630","MATH","MATH","110A","MATH 110A","30229 (003)","Calculus I","Calculus I","Lecture","","MW 1:10pm-3:45pm","MW 1:10pm-3:45pm [Lecture (Class)]","McLanahan, Amy (@00114252) [Primary, 100%]","HC 213","Active","16 week session (1/26/26 to 5/20/26)","","","Day","Ocean","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; InsMa: No-Cost OER; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","11","35","25","0","0","D","","","","","","","","Room Request: HC 213","","This 16-week class requires the use of Canvas and an internet-enabled device. All class sessions will occur in person at the Ocean Campus.","Exclude (E)","High School Exemption (CHSS) ","",""
,"242","30864","Spring 2026","202630","MATH","MATH","110A","MATH 110A","30864 (861)","Calculus I","Calculus I","Online Hybrid","","F 1:10pm-4pm","F 1:10pm-4pm (03/13/2026) [Lecture (Class)]; F 1:10pm-4pm (05/15/2026) [Lecture (Class)]; Does Not Meet [Online Learning (To Be Arranged)]","Greenberg, Mike (@00243537) [Primary, 80%]; Greenberg, Mike (@00243537) [20%]","HBB 398; No Room Assigned","Active","Full Term (1/9/26 to 5/20/26)","","","Day","Ocean","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; InsMa: No-Cost OER; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","17","40","20","0","0","WI","","","","","","","","Room request: JDVL 805 or a larger room for an exam that can accommodate 40-45 students.","","This class requires two in-person meetings and the use of Canvas. The two in-person meetings are for the Midterm Exam (Friday, March 13th) and Final Exam (Friday, May 15th), both scheduled from 1:10 pm - 4:00 pm. Students will also complete coursework in Canvas, which must be accessed using an internet-enabled device. This class is part of <a href=""https://ccsf.edu/cityonline"">CityOnline</a> and is 17.5 weeks. For student support and other services, students can check the <a href=""https://sites.google.com/mail.ccsf.edu/mikegreenberg"">Instructor's Website</a>.","Exclude (E)","High School Exemption (CHSS) ","",""
,"65","30227","Spring 2026","202630","MATH","MATH","110A","MATH 110A","30227 (869)","Calculus I","Calculus I","Online Hybrid","","T 4:40pm-7pm","T 4:40pm-7pm [Online Hybrid (Class)]; Does Not Meet [Online Learning (To Be Arranged)]","Vo, Danny (W00635022) [Primary, 100%]","HC 206; No Room Assigned","Active","Full Term (1/9/26 to 5/20/26)","","","Evening","Ocean","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; InsMa: Low-Cost Material; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","27","40","20","0","0","WI","","","","","","","","","","This class requires in-person meetings and the use of Canvas. In-person meeting information (meeting days, times, location) is in the class schedule. Students will also complete coursework in Canvas, which must be accessed using an internet-enabled device. This class is part of <a href=""https://ccsf.edu/cityonline"">CityOnline</a> and is 17.5 weeks. For student support and other services, students can check the <a href=""https://ccsf.instructure.com/courses/55276"">Instructor's Website</a>.","Exclude (E)","High School Exemption (CHSS) ","",""
,"66","30228","Spring 2026","202630","MATH","MATH","110A","MATH 110A","30228 (931)","Calculus I","Calculus I","Online Learning","","Does Not Meet","Does Not Meet [Online Learning (Class)]","Liu, Renee (W00703406) [Primary, 100%]","No Room Assigned","Active","16 week session (1/26/26 to 5/20/26)","","","Evening","Online","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; InsMa: Low-Cost Material; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","32","40","35","0","0","DI","","","","","","","","","","This class requires the use of Canvas with no required in-person meetings. Students will complete coursework in Canvas, which must be accessed using an internet-enabled device. This class is part of <a href=""https://ccsf.edu/cityonline"">CityOnline</a> and is 16 weeks. For student support and other services, students can check the <a href=""https://sites.google.com/mail.ccsf.edu/renee-math-classroom"">Instructor's Website</a>.","Exclude (E)","High School Exemption (CHSS) ","",""
,"69","30231","Spring 2026","202630","MATH","MATH","110A","MATH 110A","30231 (932)","Calculus I","Calculus I","Online Learning","","Does Not Meet","Does Not Meet [Online Learning (Class)]","Liu, Renee (W00703406) [Primary, 100%]","No Room Assigned","Active","16 week session (1/26/26 to 5/20/26)","","","Evening","Online","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; InsMa: Low-Cost Material; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","34","40","36","0","0","DI","","","","","","","","","","This class requires the use of Canvas with no required in-person meetings. Students will complete coursework in Canvas, which must be accessed using an internet-enabled device. This class is part of <a href=""https://ccsf.edu/cityonline"">CityOnline</a> and is 16 weeks. For student support and other services, students can check the <a href=""https://sites.google.com/mail.ccsf.edu/renee-math-classroom"">Instructor's Website</a>.","Exclude (E)","High School Exemption (CHSS) ","",""
,"2083","36249","Spring 2026","202630","MATH","MATH","110A","MATH 110A","36249 (933)","Calculus I","","Online Learning","","Does Not Meet","Does Not Meet [Online Learning (Class)]","Bertens, Matthew (W00081349) [Primary, 100%]","No Room Assigned","Active","16 week session (1/26/26 to 5/20/26)","","","Evening","Online","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; InsMa: Low-Cost Material; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","35","40","0","0","0","DI","","","","","","","","","","This class requires the use of Canvas with no required in-person meetings. Students will complete coursework in Canvas, which must be accessed using an internet-enabled device. This class is part of <a href=""https://ccsf.edu/cityonline"">CityOnline</a> and is 16 weeks. For student support and other services, students can check the <a href=""https://sites.google.com/a/mail.ccsf.edu/matthew-bertens"">Instructor's Website</a>.","Exclude (E)","High School Exemption (CHSS) ","",""
,"230","30812","Spring 2026","202630","MATH","MATH","110A","MATH 110A","30812 (961)","Calculus I","Calculus I","Online Hybrid","","R 11:10am-1pm","R 11:10am-1pm [Lecture (Class)]; Does Not Meet [Online Learning (To Be Arranged)]","Stevens, Alice (W00172903) [Primary, 100%]; Stevens, Alice (W00172903) [100%]","HC 213; No Room Assigned","Active","16 week session (1/26/26 to 5/20/26)","","","Day","Ocean","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; InsMa: Low-Cost Material; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","17","40","19","0","0","DI","","","","","","","","Room Request: HC 213 or a smart classroom with a teacher workstation","","This class requires in-person meetings and the use of Canvas. In-person meeting information (meeting days, times, location) is in the class schedule. Students will also complete coursework in Canvas, which must be accessed using an internet-enabled device. This class is part of <a href=""https://ccsf.edu/cityonline"">CityOnline</a> and is 16 weeks. For student support and other services, students can check the <a href=""https://sites.google.com/mail.ccsf.edu/astevens"">Instructor's Website</a>.","Exclude (E)","High School Exemption (CHSS) ","",""
,"1195","34975","Spring 2026","202630","MATH","MATH","110A","MATH 110A","34975 (962)","Calculus I","Calculus I","Online Hybrid","","F 1:10pm-3pm","F 1:10pm-3pm (03/06/2026) [Lecture (Class)]; F 1:10pm-3pm (03/20/2026) [Lecture (Class)]; F 1:10pm-3pm (04/10/2026) [Lecture (Class)]; F 1:10pm-3pm (04/24/2026) [Lecture (Class)]; F 1:10pm-3pm (05/15/2026) [Lecture (Class)]; Does Not Meet [Online Learning (To Be Arranged)]","Bertens, Matthew (W00081349) [Primary, 100%]","STEM 317; No Room Assigned","Active","12 week session (2/23/26 to 5/20/26)","","","Day","Ocean","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; InsMa: Low-Cost Material; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","22","40","33","0","0","DI","","","","","","","","Room Request: STEM 317 or same Room as STAT 80 (968)","","This class requires in-person meetings and the use of Canvas. In-person meeting information (meeting days, times, location) is in the class schedule. Students will also complete coursework in Canvas, which must be accessed using an internet-enabled device. This class is part of <a href=""https://ccsf.edu/cityonline"">CityOnline</a> and is 12 weeks. For student support and other services, students can check the <a href=""https://sites.google.com/a/mail.ccsf.edu/matthew-bertens"">Instructor's Website</a>.","Exclude (E)","High School Exemption (CHSS) ","",""
,"68","30230","Spring 2026","202630","MATH","MATH","110A","MATH 110A","30230 (S04)","Calculus I","Calculus I","Lecture","","TR 9:10am-11:25am","TR 9:10am-11:25am [Lecture (Class)]; Does Not Meet [Lecture (Class)]","Fuchs, Katia (@00242317) [Primary, 80%]; Fuchs, Katia (@00242317) [20%]","BATL 753 - General Classroom; No Room Assigned","Active","Full Term (1/9/26 to 5/20/26)","","","Day","Ocean","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; InsMa: Low-Cost Material; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","29","35","15","0","0","W","","","","","","","","Room Request: BATL 753 or smart classroom with teacher workstation and same room as MATH 110S-S04","","IMPORTANT: This section of MATH 110A is linked to MATH 110S, a support course that offers additional support and an embedded tutor. CRNs 30230 and 36256 must be added together. This 17.5-week class requires the use of Canvas and an internet-enabled device. All class sessions will occur in person at the Ocean Campus.
","Exclude (E)","High School Exemption (CHSS) ","",""
,"2118","36252","Spring 2026","202630","MATH","MATH","110A","MATH 110A","36252 (S06)","Calculus I","","Lecture","","TR 11:40am-1:55pm","TR 11:40am-1:55pm [Lecture (Class)]","Dadmehr, Shireen (WA2985154) [Primary, 100%]","HC 206","Active","Full Term (1/9/26 to 5/20/26)","","","Day","Ocean","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; InsMa: No-Cost OER; CCSF 2: Mathematics;  Women's and Gender Studies","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","34","35","0","0","0","W","","","","","","","","Room Request: Same classroom (with windows) as MATH 110S (S06)","","IMPORTANT: This section of MATH 110A is linked to MATH 110S, a support course that offers additional support and an embedded tutor. CRNs 36252 and 36258 must be added together. This 17.5-week class requires the use of Canvas and an internet-enabled device. All class sessions will occur in person at the Ocean Campus. This section provides emphasis on examining how society shapes women's views towards math and uses math examples related to women's lives.","Exclude (E)","High School Exemption (CHSS) ","",""
,"2131","36253","Spring 2026","202630","MATH","MATH","110A","MATH 110A","36253 (S07)","Calculus I","","Lecture","","MW 10:10am-12:25pm","MW 10:10am-12:25pm [Lecture (Class)]","Hu, Thomas (W00001619) [Primary, 100%]","HBB 261","Active","Full Term (1/9/26 to 5/20/26)","","","Day","Ocean","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; InsMa: Low-Cost Material; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","17","35","0","0","0","W","","","","","","","","Room Request: HBB and same room as MATH 110S (S07)","","IMPORTANT: This section of MATH 110A is linked to MATH 110S, a support course that offers additional support and an embedded tutor. CRNs 36253 and 36259 must be added together. This 17.5-week class requires the use of Canvas and an internet-enabled device. All class sessions will occur in person at the Ocean Campus.","Exclude (E)","High School Exemption (CHSS) ","",""
,"70","30232","Spring 2026","202630","MATH","MATH","110A","MATH 110A","30232 (S61)","Calculus I","Calculus I","Online Hybrid","","MW 10:10am-11am","MW 10:10am-11am [Online Hybrid (Class)]; Does Not Meet [Online Learning (To Be Arranged)]","Lum, Lily (W00076775) [Primary, 100%]","CHNB 605; No Room Assigned","Active","Full Term (1/9/26 to 5/20/26)","","","Day","Chinatown/North Beach","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; InsMa: No-Cost OER; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","24","40","23","0","0","WI","","","","","","","","Room Request: CHNB 1401 or other Smart classroom with a teacher workstation and same room as MATH 110S (S61)","","IMPORTANT: This section of MATH 110A is linked to MATH 110S, a support course that offers additional support and an embedded tutor. CRNs 30232 and 36260 must be added together. This class requires in-person meetings and the use of Canvas. In-person meeting information (meeting days, times, location) is in the class schedule. Students will also complete coursework in Canvas, which must be accessed using an internet-enabled device. This class is part of <a href=""https://ccsf.edu/cityonline"">CityOnline</a> and is 17.5 weeks. For student support and other services, students can check <a href=""https://ccsf.instructure.com/courses/39802/pages/welcome"">Welcome to CityOnline</a>. Students can <a href=""mailto:llum@ccsf.edu?subject=Question%20about%20MATH%2070%20CRN%32349"">send email</a> to the instructor if they have questions before the semester begins.","Exclude (E)","High School Exemption (CHSS) ","",""
,"2099","36254","Spring 2026","202630","MATH","MATH","110A","MATH 110A","36254 (S62)","Calculus I","","Online Hybrid","","W 1:10pm-2pm","W 1:10pm-2pm [Lecture (Class)]; Does Not Meet [Online Learning (To Be Arranged)]","Lockman, Kendra (@00242494) [Primary, 80%]; Lockman, Kendra (@00242494) [20%]","BATL 713- General Classroom; No Room Assigned","Active","Full Term (1/9/26 to 5/20/26)","","","Day","Ocean","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; InsMa: No-Cost OER; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","15","40","0","0","0","WI","","","","","","","","Room Request: Batmale 753 or a smart classroom with a teacher workstation and the same as MATH 110S (S62)","","IMPORTANT: This section of MATH 110A is linked to MATH 110S, a support course that offers additional support and an embedded tutor. CRNs 36254 and 36261 must be added together. This class requires in-person meetings and the use of Canvas. In-person meeting information (meeting days, times, location) is in the class schedule. Students will also complete coursework in Canvas, which must be accessed using an internet-enabled device. This class is part of <a href=""https://ccsf.edu/cityonline"">CityOnline</a> and is 17.5 weeks. For student support and other services, students can check <a href=""https://ccsf.instructure.com/courses/39802/pages/welcome"">Welcome to CityOnline</a>. Students can <a href=""mailto:klockman@ccsf.edu?subject=Question%20about%20MATH%20110A%20CRN%2036254"">send email</a> to the instructor if they have questions before the semester begins.","Exclude (E)","High School Exemption (CHSS) ","",""
,"2100","36255","Spring 2026","202630","MATH","MATH","110A","MATH 110A","36255 (S63)","Calculus I","","Online Hybrid","","M 5:10pm-6pm","M 5:10pm-6pm [Online Hybrid (Class)]; Does Not Meet [Online Learning (To Be Arranged)]","Lockman, Kendra (@00242494) [Primary, 100%]","MIC 274 - General Classroom; No Room Assigned","Active","Full Term (1/9/26 to 5/20/26)","","","Evening","Mission","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; InsMa: No-Cost OER; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","15","40","0","0","0","WI","","","","","","","","Room Request: MIC 321 or a smart classroom with a teacher workstation and the same as MATH 110S (S63)","","IMPORTANT: This section of MATH 110A is linked to MATH 110S, a support course that offers additional support and an embedded tutor. CRNs 36255 and 36262 must be added together. This class requires in-person meetings and the use of Canvas. In-person meeting information (meeting days, times, location) is in the class schedule. Students will also complete coursework in Canvas, which must be accessed using an internet-enabled device. This class is part of <a href=""https://ccsf.edu/cityonline"">CityOnline</a> and is 17.5 weeks. For student support and other services, students can check <a href=""https://ccsf.instructure.com/courses/39802/pages/welcome"">Welcome to CityOnline</a>. Students can <a href=""mailto:klockman@ccsf.edu?subject=Question%20about%20MATH%20110A%20CRN%2036254"">send email</a> to the instructor if they have questions before the semester begins.","Exclude (E)","High School Exemption (CHSS) ","",""
"MATH 110B - Calculus II"
,"1813","35946","Spring 2026","202630","MATH","MATH","110B","MATH 110B","35946 (001)","Calculus II","Calculus II","Lecture","","MW 8:40am-10:55am","MW 8:40am-10:55am [Lecture (Class)]","Nanjo, Jean (W00700703) [Primary, 100%]","CLOU 266 - Smart Classroom","Active","Full Term (1/9/26 to 5/20/26)","","","Day","Ocean","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; InsMa: Low-Cost Material; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","32","35","34","0","0","W","","","","","","","","Room Request: HC 213 (or HC 205) or a smart classroom with a teacher workstation and the same as MATH 70 (002)","","This 17.5-week class requires the use of Canvas and an internet-enabled device. All class sessions will occur in person at the Ocean Campus.","Exclude (E)","High School Exemption (CHSS) ","",""
,"128","30394","Spring 2026","202630","MATH","MATH","110B","MATH 110B","30394 (002)","Calculus II","Calculus II","Lecture","","TR 11:10am-1:45pm","TR 11:10am-1:45pm [Lecture (Class)]","Rankenburg, Peter (@00280788) [Primary, 100%]","BATL 553 - Smart Classroom - no whiteboard","Active","16 week session (1/26/26 to 5/20/26)","","","Day","Ocean","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason;  Honors Available; InsMa: No-Cost OER; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","27","35","22","0","0","D","","","","","","","","2 seats reserved for students in the AON apprenticeship cohort","","This 16-week class requires the use of Canvas and an internet-enabled device. All class sessions will occur in person at the Ocean Campus. 2 seats reserved for students in the AON apprenticeship cohort.","Exclude (E)","High School Exemption (CHSS) ","",""
,"71","30237","Spring 2026","202630","MATH","MATH","110B","MATH 110B","30237 (003)","Calculus II","Calculus II","Lecture","","MW 11:10am-1:45pm","MW 11:10am-1:45pm [Lecture (Class)]","Liu, Renee (W00703406) [Primary, 100%]","HC 205","Active","16 week session (1/26/26 to 5/20/26)","","","Day","Ocean","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; InsMa: Low-Cost Material; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","28","35","29","0","0","D","","","","","","","","Room Request: HC 205 or HC 206","","This 16-week class requires the use of Canvas and an internet-enabled device. All class sessions will occur in person at the Ocean Campus.","Exclude (E)","High School Exemption (CHSS) ","",""
,"72","30239","Spring 2026","202630","MATH","MATH","110B","MATH 110B","30239 (004)","Calculus II","Calculus II","Lecture","","MW 2:10pm-4:25pm","MW 2:10pm-4:25pm [Lecture (Class)]","Lee, Theodore (W00001670) [Primary, 100%]","BATL 753 - General Classroom","Active","Full Term (1/9/26 to 5/20/26)","","","Day","Ocean","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; InsMa: Low-Cost Material; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","16","35","14","0","0","W","","","","","","","","Room Request: BATL 611 or Batmale 6th/7th floor, Smart Classroom","","This 17.5-week class requires the use of Canvas and an internet-enabled device. All class sessions will occur in person at the Ocean Campus.","Exclude (E)","High School Exemption (CHSS) ","",""
